=LDR  00000cam a2200000 c 4500
=001  ocn123456789
=003  OCoLC
=005  20240210061653.1
=008  870701s1987    cc            000 0 chi d
=040  \$aOCLC$bchi$erda$cOCLC
=041  0\$achi
=050  $aDS735$b.A2 1987
=100  1\$aZhang, Wei,$d1948-$eauthor.
=245  10$aZhongguo jindai shiguan shilun /$cZhang Wei zhu.
=260  \$aBeijing :$bZhonghua shuju,$c1987.
=300  \$a11, 5, 773 pages ;$c21 cm
=336  \$atext$btxt$2rdacontent
=337  \$aunmediated$bn$2rdamedia
=338  \$avolume$bnc$2rdacarrier
=500  \$aIncludes bibliographical references.
=650  $aChina$xHistory$y19th century.
=650  $aChina$xHistory$y20th century.
=650  $aHistoriography$zChina.
=650  $aHistoriografía$zChina$2embne
=650  $aChina$xHistory$2fast$0(OCoLC)fst01206073
=650  $aHistoriography$2fast$0(OCoLC)fst00958238
=650  $aHistory.$2lcgft
=650  $aHistoriography.$2lcgft
=655  $aHistory.$2fast$0(OCoLC)fst01411628
=655  $aHistoriography.$2fast$0(OCoLC)fst00958238
=655  $aHistoria.$2rvmgf
=655  $aHistoriografía.$2rvmgf
=758  \$ihas work:$aZhongguo jindai shiguan shilun (Text)$1https://id.oclc.org/worldcat/entity/E39PCG8rPdyM3H769TY9DDq4v3$4https://id.oclc.org/worldcat/ontology/hasWork
