=LDR  00000cam a2200000 c 4500
=001  ocn123456789
=003  OCoLC
=005  20240210061653.1
=008  990101s1999    enka     b    001 0 eng d
=040  \$aOCoLC$beng$erda$cOCoLC$dOCoLCQ$dOCLCO$dOCLCQ$dCUV$dOCLCL
=020  \$a1578810647 (printed paper case)
=020  \$a1578810620 (paperback)
=035  \$a(OCoLC)123456789
=050  $aRC565$b.M33 1999
=100  1\$aMacdonald, Ian,$eeditor.
=245  10$aHealth issues related to alcohol consumption /$cedited by Ian Macdonald.
=250  \$aSecond edition.
=264  $aOxford :$bBlackwell Science Ltd,$c1999.
=300  \$axi, 453 pages :$billustrations ;$c25 cm
=336  \$atext$btxt$2rdacontent
=337  \$aunmediated$bn$2rdamedia
=338  \$avolume$bnc$2rdacarrier
=500  \$aFirst edition published in 1993.
=500  \$aIncludes bibliographical references and index.
=650  $aAlcohol$xHealth aspects.
=650  $aAlcoholism$xComplications.
=650  $aAlcohol Drinking$xadverse effects.
=650  $aAlcoholismo$2embne
=650  $aAlcohol$xHealth aspects$2fast$0(OCoLC)fst00803358
=650  $aAlcoholism$xComplications$2fast$0(OCoLC)fst00803359
=655  $aHandbooks and manuals.$2fast$0(OCoLC)fst01423877
=655  $aHandbooks and manuals.$2lcgft
=700  1\$aMacdonald, Ian,$eeditor.
=710  2\$aInternational Life Sciences Institute,$eissuing body.
=710  2\$aBlackwell Science Ltd,$epublisher.
=758  \$ihas work:$aHealth issues related to alcohol consumption (Text)$1https://id.oclc.org/worldcat/entity/E39PCG8rPdyM3H769TY9DDq4v3$4https://id.oclc.org/worldcat/ontology/hasWork
