=LDR  00000cam a2200000 i 4500
=001  ocn123456789
=003  OCoLC
=005  20230315090000.0
=008  230315s2023    txua     b    000 1 eng d
=020  \$a978-1-62288-945-7
=040  \$aTXA$beng$erda$cTXA$dOCLCF$dOCLCO$dOCLCQ$dOCLCO$dOCLCQ$dCUV$dOCLCL
=100  1\$aJanning, Meredith,$eeditor.
=245  10$aHard to find :$ban anthology of new Southern Gothic /$cedited by Meredith Janning ; with a foreword by Joe R. Lansdale.
=264  1\$aNacogdoches, Texas :$bStephen F. Austin State University Press,$c2023.
=300  \$axii, 127 pages ;$c23 cm
=336  \$atext$btxt$2rdacontent
=337  \$aunmediated$bn$2rdamedia
=338  \$avolume$bnc$2rdacarrier
=500  \$aIncludes bibliographical references.
=505  0\$aEditor's note -- Foreword -- Tallulah -- The old timers -- Speck, WV -- All the pretty things -- Heartworms -- Last dance with Mary Jane -- Gone fishing -- Somewhere, anywhere -- Devil's footprint on my chin -- The great awakening of Iris Blue Buckadoo Bivens -- The woman, being deceived -- Acknowledgments -- About the editor.
=650  0$aSouthern Gothic (Literary genre)
=650  0$aShort stories, American$zSouthern States.
=650  0$aAmerican fiction$y21st century.
=655  7$aAnthologies.$2fast$0(OCoLC)fst01423834
=700  1\$aLansdale, Joe R.,$eauthor of foreword.
